	Mean_cyto	Mean_total	log2FoldChange	lfcSE	pvalue	padj
FBgn0027053	2783.171011	1267.028524	1.134598489	0.041155386	2.645E-167	1.2777E-165
FBgn0002638	6863.13686	3064.273088	1.161702416	0.042140224	2.7272E-167	1.3123E-165
FBgn0260477	913.4261115	125.6915411	2.848793345	0.103340658	2.7673E-167	1.3265E-165
FBgn0031980	60780.43058	12499.32548	2.27661466	0.082624713	3.9985E-167	1.9093E-165
FBgn0032979	614.930453	2752.211331	-2.149194137	0.078040586	5.9214E-167	2.8167E-165
FBgn0031357	937.4021908	190.7044072	2.290996503	0.083198914	6.4438E-167	3.0536E-165
FBgn0085599	2147.179351	499.3951269	2.100069558	0.076266542	6.5248E-167	3.0802E-165
FBgn0010438	2470.693725	1021.424363	1.272848693	0.046284676	1.7348E-166	8.1586E-165
FBgn0261479	1494.468882	434.3822609	1.780058667	0.064750054	2.2351E-166	1.0472E-164
FBgn0019886	679.1688676	2189.248069	-1.679439229	0.061247519	1.5613E-165	7.2876E-164
FBgn0011227	2309.620713	402.1166162	2.51253312	0.091661497	2.028E-165	9.4311E-164
FBgn0019890	514.6597457	2005.767313	-1.952165669	0.071389651	1.2309E-164	5.703E-163
FBgn0041180	3637.755899	11939.25168	-1.709098691	0.062692677	1.213E-163	5.599E-162
FBgn0000319	4049.431588	13475.00005	-1.728578886	0.06346608	2.4173E-163	1.1117E-161
FBgn0052069	847.6473331	143.5098822	2.555603586	0.093939572	5.7049E-163	2.614E-161
FBgn0046704	589.5028555	2064.519681	-1.801796233	0.066252292	7.2457E-163	3.3078E-161
FBgn0034727	1718.014752	497.4688198	1.783280214	0.065689444	2.7371E-162	1.245E-160
FBgn0259152	410.8580852	2507.088747	-2.593507768	0.095542445	2.894E-162	1.3115E-160
FBgn0039204	2730.562255	611.6025181	2.151758936	0.079347322	6.0028E-162	2.7106E-160
FBgn0033480	1093.024672	165.6624143	2.708309438	0.099909603	8.0114E-162	3.6045E-160
FBgn0085271	928.7229103	135.8046536	2.765733975	0.102064717	1.0439E-161	4.6799E-160
FBgn0035150	620.9022214	2688.161619	-2.111737287	0.07798412	1.7373E-161	7.7605E-160
FBgn0039265	2936.394022	571.150068	2.352057919	0.087235243	4.0989E-160	1.8244E-158
FBgn0019990	640.7549368	2221.99529	-1.793705756	0.066532066	4.3527E-160	1.9305E-158
FBgn0039525	1183.052065	298.5776072	1.979906357	0.07346566	5.69E-160	2.5147E-158
FBgn0001989	3291.604127	702.1389538	2.221629821	0.08250813	1.0842E-159	4.7747E-158
FBgn0031188	2066.352477	641.9418556	1.681205987	0.062470032	1.581E-159	6.9378E-158
FBgn0035160	1435.4143	170.4781822	3.049588408	0.113365444	2.1662E-159	9.4726E-158
FBgn0035084	761.0205445	132.9151929	2.505117572	0.093242374	5.3785E-159	2.3438E-157
FBgn0034886	3014.614225	997.3455235	1.59141994	0.05924898	6.4682E-159	2.8088E-157
FBgn0013954	14632.83329	4445.916887	1.715756411	0.063945091	1.3788E-158	5.9668E-157
FBgn0039300	52026.89553	11730.24735	2.144472165	0.079977336	2.2491E-158	9.699E-157
FBgn0031995	617.5667925	2587.51207	-2.060843455	0.076864673	2.3844E-158	1.0247E-156
FBgn0029854	2272.368093	383.3351216	2.555567648	0.09537238	3.6285E-158	1.554E-156
FBgn0025820	903.0524469	195.0385983	2.204487715	0.082384776	9.8501E-158	4.2042E-156
FBgn0028665	5807.163446	3066.199396	0.919828381	0.034455123	5.1798E-157	2.2033E-155
FBgn0031992	2743.933639	844.6856824	1.698165294	0.063617057	5.5921E-157	2.3706E-155
FBgn0036728	4023.648288	826.3857646	2.276504369	0.085393302	1.4056E-156	5.9383E-155
FBgn0032229	1821.295014	418.4902269	2.111000241	0.079349046	6.1056E-156	2.5707E-154
FBgn0038953	950.0389794	2853.824033	-1.580575376	0.059466008	1.1724E-155	4.9198E-154
FBgn0032149	1688.552636	491.2083216	1.776923198	0.066902409	1.9723E-155	8.2484E-154
